id,title,description,location,salary,publication_date,expiration_date,recruiter_id,created_at,updated_at
"140","Pilote de Ligne Aérienne","Conduite et gestion des vols commerciaux.","Paris","95000€","2025-03-30","2025-04-29",17,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"141","Chercheur en Biotechnologie","Recherche et développement en biologie.","Lyon","68000€","2025-03-30","2025-04-29",18,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"142","Spécialiste en Neurosciences","Études des troubles cognitifs.","Marseille","72000€","2025-03-30","2025-04-29",19,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"143","Astrophysicien","Étude de l’univers et des exoplanètes.","Bordeaux","75000€","2025-03-30","2025-04-29",19,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"144","Professeur de Mathématiques","Enseignement secondaire et supérieur.","Toulouse","48000€","2025-03-30","2025-04-29",19,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"39","Product Manager","Gestion de produit tech, agile, SCRUM. Expérience en SaaS appréciée.","Bordeaux","55000€","2025-03-30","2025-04-29",13,"Sun Mar 30 2025 11:49:19 GMT+0000 (UTC)","Sun Mar 30 2025 11:49:19 GMT+0000 (UTC)"
"40","Administrateur Systèmes","Expérience en Linux, Windows Server et virtualisation (VMware, Hyper-V).","Toulouse","47000€","2025-03-30","2025-04-29",11,"Sun Mar 30 2025 11:49:19 GMT+0000 (UTC)","Sun Mar 30 2025 11:49:19 GMT+0000 (UTC)"
"41","Développeur Frontend","Expérience en React, Vue.js ou Angular.","Paris","42000€","2025-03-30","2025-04-29",12,"Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)","Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)"
"42","Spécialiste Big Data","Maîtrise de Hadoop, Spark et bases NoSQL.","Lyon","60000€","2025-03-30","2025-04-29",13,"Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)","Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)"
"43","Ingénieur Systèmes","Expérience en Linux, Docker, Kubernetes.","Marseille","55000€","2025-03-30","2025-04-29",14,"Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)","Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)"
"44","Développeur Mobile","iOS/Android avec Flutter ou React Native.","Bordeaux","50000€","2025-03-30","2025-04-29",14,"Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)","Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)"
"45","Scrum Master","Expérience Agile/Scrum et gestion déquipe.","Toulouse","52000€","2025-03-30","2025-04-29",9,"Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)","Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)"
"46","Spécialiste Réseaux","Cisco, Fortinet, sécurité réseau et VPN.","Nice","57000€","2025-03-30","2025-04-29",9,"Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)","Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)"
"47","Développeur C++","Expérience en développement bas niveau.","Nantes","58000€","2025-03-30","2025-04-29",11,"Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)","Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)"
"48","Ingénieur DevOps","Kubernetes, CI/CD, Terraform, Docker.","Strasbourg","62000€","2025-03-30","2025-04-29",13,"Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)","Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)"
"49","Expert Cloud","Maîtrise de AWS, GCP ou Azure.","Remote","68000€","2025-03-30","2025-04-29",12,"Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)","Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)"
"50","Consultant IT","Expérience en transformation digitale.","Lille","56000€","2025-03-30","2025-04-29",12,"Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)","Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)"
"51","Développeur PHP","Maîtrise de Laravel et Symfony.","Paris","48000€","2025-03-30","2025-04-29",12,"Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)","Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)"
"52","Administrateur Base de Données","PostgreSQL, MySQL, optimisation SQL.","Lyon","53000€","2025-03-30","2025-04-29",10,"Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)","Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)"
"53","Ingénieur Sécurité","Expertise en cybersécurité et pentesting.","Marseille","65000€","2025-03-30","2025-04-29",10,"Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)","Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)"
"54","Analyste Data","Expérience en Power BI, SQL et statistiques.","Bordeaux","47000€","2025-03-30","2025-04-29",10,"Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)","Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)"
"55","Chef de Projet IT","Gestion de projet agile et méthodologies PMI.","Toulouse","60000€","2025-03-30","2025-04-29",10,"Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)","Sun Mar 30 2025 12:01:11 GMT+0000 (UTC)"
"145","Formateur IT","Formation en développement et systèmes.","Nice","50000€","2025-03-30","2025-04-29",12,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"146","Directeur d’École","Gestion et coordination pédagogique.","Nantes","65000€","2025-03-30","2025-04-29",17,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"147","Avocat en Droit du Travail","Conseil et défense des entreprises.","Strasbourg","70000€","2025-03-30","2025-04-29",17,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"148","Juriste en Propriété Intellectuelle","Brevets, marques et droit d’auteur.","Remote","62000€","2025-03-30","2025-04-29",19,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"149","Directeur d’Hôtel","Gestion et administration hôtelière.","Lille","72000€","2025-03-30","2025-04-29",19,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"150","Chef de Cuisine","Supervision des brigades en restaurant gastronomique.","Paris","58000€","2025-03-30","2025-04-29",18,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"151","Guide Touristique","Accompagnement et découverte culturelle.","Lyon","42000€","2025-03-30","2025-04-29",16,"Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)","Sun Mar 30 2025 12:10:34 GMT+0000 (UTC)"
"152","Développeur Web Full-Stack","Nous recherchons un développeur maîtrisant HTML, CSS, JavaScript, et Node.js pour travailler sur des applications web dynamiques. Le candidat idéal devra être familier avec la gestion des bases de données SQL.","Paris, France","3500 EUR","2025-04-01","2025-05-31",9,"Wed Apr 02 2025 17:44:40 GMT+0000 (UTC)","Wed Apr 02 2025 17:44:40 GMT+0000 (UTC)"
"153","Ingénieur en Data Science","Nous recherchons un ingénieur en Data Science ayant une solide maîtrise de Python, R, et des bibliothèques de machine learning comme Scikit-learn et TensorFlow.","Lyon, France","4500 EUR","2025-04-01","2025-04-30",10,"Wed Apr 02 2025 17:44:40 GMT+0000 (UTC)","Wed Apr 02 2025 17:44:40 GMT+0000 (UTC)"
"154","Développeur Front-End React","Poste de développeur front-end avec une expertise en React.js, HTML5, CSS3 et une bonne connaissance de intégration avec des API RESTful.","Marseille, France","3000 EUR","2025-04-01","2025-06-30",11,"Wed Apr 02 2025 17:44:40 GMT+0000 (UTC)","Wed Apr 02 2025 17:44:40 GMT+0000 (UTC)"
"155","Administrateur Systèmes","Nous recherchons un administrateur système avec une expérience sur Linux, la gestion des serveurs Apache et Nginx, ainsi que la maîtrise de la configuration des systèmes réseaux.","Bordeaux, France","4000 EUR","2025-04-01","2025-05-31",12,"Wed Apr 02 2025 17:44:40 GMT+0000 (UTC)","Wed Apr 02 2025 17:44:40 GMT+0000 (UTC)"
"156","Consultant SEO","Un consultant SEO avec une maîtrise des outils analyse comme Google Analytics, SEMrush, et une expérience dans optimisation des moteurs de recherche.","Toulouse, France","3500 EUR","2025-04-01","2025-04-30",13,"Wed Apr 02 2025 17:44:40 GMT+0000 (UTC)","Wed Apr 02 2025 17:44:40 GMT+0000 (UTC)"
"177","Développeur Mobile iOS","Nous recherchons un développeur iOS ayant une expérience avec Swift, Objective-C, ainsi que la gestion des bases de données locales avec CoreData et Realm.","Paris, France","3800 EUR","2025-04-01","2025-05-31",12,"Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)","Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)"
"178","Développeur Back-End Python","Nous cherchons un développeur back-end ayant une expertise en Python, Django et une bonne connaissance des bases de données relationnelles comme PostgreSQL.","Lyon, France","4200 EUR","2025-04-01","2025-04-30",14,"Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)","Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)"
"179","Ingénieur DevOps","Recherche un ingénieur DevOps avec des compétences en gestion de cloud (AWS, Azure), gestion des conteneurs (Docker, Kubernetes) et des systèmes de CI/CD.","Marseille, France","5000 EUR","2025-04-01","2025-06-30",18,"Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)","Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)"
"180","Développeur PHP Symfony","Poste de développeur PHP avec expertise sur Symfony, gestion des bases de données MySQL, et bonnes pratiques de développement orienté objet.","Lille, France","3400 EUR","2025-04-01","2025-05-31",19,"Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)","Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)"
"181","Administrateur Base de Données SQL","Nous recherchons un administrateur de bases de données SQL avec des compétences avancées en gestion de bases de données relationnelles et en optimisation des performances.","Toulouse, France","4300 EUR","2025-04-01","2025-05-31",19,"Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)","Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)"
"182","Ingénieur en Machine Learning","Recherchons un ingénieur en Machine Learning ayant une maîtrise de Python, TensorFlow, Keras et la mise en production des modèles.","Nice, France","5000 EUR","2025-04-01","2025-06-30",18,"Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)","Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)"
"183","Développeur Java Backend","Nous recherchons un développeur Java avec une expertise sur Spring Boot, Hibernate, et une bonne connaissance de la gestion des API RESTful.","Nantes, France","4000 EUR","2025-04-01","2025-04-30",17,"Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)","Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)"
"184","Data Analyst","Poste de Data Analyst avec une expertise en analyse de données sur Excel, SQL, et des outils de visualisation comme Tableau ou Power BI.","Paris, France","3500 EUR","2025-04-01","2025-04-30",14,"Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)","Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)"
"185","Développeur C++","Nous recherchons un développeur C++ avec une expérience dans le développement de logiciels en temps réel, gestion de la mémoire et optimisation des performances.","Bordeaux, France","4200 EUR","2025-04-01","2025-05-31",12,"Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)","Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)"
"186","Architecte Cloud","Nous recherchons un architecte Cloud avec des compétences avancées dans la conception de solutions Cloud (AWS, GCP, Azure) et la gestion des infrastructures cloud avec Terraform.","Lyon, France","5500 EUR","2025-04-01","2025-06-30",10,"Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)","Wed Apr 02 2025 17:47:10 GMT+0000 (UTC)"
"187","Développeur Front-End Web","Nous recherchons un développeur maîtrisant HTML, CSS, JavaScript, et React.js. Vous serez responsable de interface utilisateur de nos applications web.","Paris, France","3500 EUR","2025-04-01","2025-05-31",9,"Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)","Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)"
"188","Développeur Back-End Node.js","Nous cherchons un développeur maîtrisant Node.js, Express.js, et MongoDB pour le développement de notre API et gestion des données.","Lyon, France","3800 EUR","2025-04-01","2025-04-30",10,"Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)","Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)"
"189","Développeur Full-Stack JavaScript","Nous recherchons un développeur full-stack maîtrisant JavaScript, Node.js, Express.js, et MongoDB. Vous serez responsable de la conception de application web de bout en bout.","Marseille, France","4200 EUR","2025-04-01","2025-06-30",11,"Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)","Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)"
"190","Développeur Front-End React.js","Nous recherchons un développeur maîtrisant React.js, HTML, CSS, et JavaScript pour créer des interfaces utilisateurs dynamiques.","Lille, France","3300 EUR","2025-04-01","2025-05-31",12,"Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)","Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)"
"191","Développeur Mobile React Native","Poste de développeur mobile avec une expertise en React Native, JavaScript, et la gestion des API RESTful.","Toulouse, France","3500 EUR","2025-04-01","2025-05-31",13,"Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)","Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)"
"192","Développeur PHP Laravel","Nous recherchons un développeur PHP avec une expertise sur Laravel, HTML, CSS, et JavaScript pour travailler sur des projets web interactifs.","Nice, France","3900 EUR","2025-04-01","2025-06-30",14,"Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)","Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)"
"193","Développeur Java Spring Boot","Nous recherchons un développeur Java maîtrisant Spring Boot, Hibernate, et les API RESTful. Expérience avec les bases de données relationnelles requise.","Bordeaux, France","4000 EUR","2025-04-01","2025-04-30",15,"Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)","Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)"
"194","Administrateur Base de Données SQL","Nous recherchons un administrateur maîtrisant SQL, PostgreSQL, et la gestion des bases de données relationnelles.","Paris, France","3800 EUR","2025-04-01","2025-05-31",16,"Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)","Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)"
"195","Développeur Python Django","Nous recherchons un développeur Python avec une expertise en Django, HTML, CSS, et JavaScript pour construire des applications web robustes.","Lyon, France","4200 EUR","2025-04-01","2025-04-30",17,"Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)","Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)"
"196","Développeur C# .NET","Nous cherchons un développeur C# avec une expertise en .NET, SQL Server, et les bonnes pratiques de développement orienté objet.","Paris, France","4300 EUR","2025-04-01","2025-06-30",18,"Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)","Wed Apr 02 2025 17:49:43 GMT+0000 (UTC)"
"197","Expert Front-End Web","Nous recherchons un expert maîtrisant HTML, CSS, JavaScript, et React.js. Vous serez responsable de interface utilisateur de nos applications web.","Paris, France","3500 EUR","2025-04-01","2025-05-31",9,"Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)","Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)"
"198","Ingénieur Back-End Node.js","Nous cherchons un ingénieur maîtrisant Node.js, Express.js, et MongoDB pour le développement de notre API et gestion des données.","Lyon, France","3800 EUR","2025-04-01","2025-04-30",9,"Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)","Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)"
"199","Architecte Full-Stack JavaScript","Nous recherchons un architecte full-stack maîtrisant JavaScript, Node.js, Express.js, et MongoDB. Vous serez responsable de la conception de application web de bout en bout.","Marseille, France","4200 EUR","2025-04-01","2025-06-30",9,"Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)","Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)"
"200","Spécialiste Front-End React.js","Nous recherchons un spécialiste maîtrisant React.js, HTML, CSS, et JavaScript pour créer des interfaces utilisateurs dynamiques.","Lille, France","3300 EUR","2025-04-01","2025-05-31",9,"Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)","Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)"
"201","Développeur Mobile React Native","Poste de développeur mobile avec une expertise en React Native, JavaScript, et la gestion des API RESTful.","Toulouse, France","3500 EUR","2025-04-01","2025-05-31",9,"Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)","Wed Apr 02 2025 17:56:57 GMT+0000 (UTC)"
